randomOeco,randomWithout,branchOeco,branchWithout
11.5,20.5,4.375,10
1.5,1.5,5,2.083333333
1.5,0.5,8.75,16.66666667
17,13.5,13.94736842,4.705882353
2,2,3.75,0.238095238
14.5,36,13.5,12.85714286
11,24,11.25,24.70588235
14.5,19.5,6.875,13.75
8.5,26.5,4.285714286,27.85714286
9.5,15,7.142857143,34
3.125,16.875,21.66666667,22.22222222
29.375,15.625,23.75,23.33333333
22.5,24.375,28.75,25.58139535
5.625,5.625,10.625,8.571428571
14.375,26.875,26.76470588,20
18.75,18.125,18.66666667,16.11111111
22.5,27.5,24.28571429,30.76923077
