"","Row.names","mohan","price","mohan2","Name","MassMissingValuesAdded","Diet","mascat"
"3","Aegithalos_concinnus",2,0,0,"Aegithalos_concinnus",6.1,"I","(0,16]"
"5","Blythipicus_pyrrhotis",2,0,2,"Blythipicus_pyrrhotis",132,"I","(16,200]"
"6","Brachypteryx_leucophrys",0,0,2,"Brachypteryx_leucophrys",15.8,"I","(0,16]"
"7","Cinclidium_frontale",0,2,2,"Cinclidium_frontale",25.4,"I","(16,200]"
"9","Cuculus_poliocephalus",0,0,1,"Cuculus_poliocephalus",47.5,"I","(16,200]"
"10","Cuculus_saturatus",0,1,0,"Cuculus_saturatus",90.6,"I","(16,200]"
"11","Culicicapa_ceylonensis",2,4,2,"Culicicapa_ceylonensis",7.7,"I","(0,16]"
"12","Dendrocopos_darjellensis",0,2,2,"Dendrocopos_darjellensis",71,"I","(16,200]"
"15","Enicurus_maculatus",2,0,0,"Enicurus_maculatus",41,"I","(16,200]"
"16","Eumyias_thalassinus",2,2,4,"Eumyias_thalassinus",17.7,"I","(16,200]"
"17","Ficedula_hyperythra",4,12,8,"Ficedula_hyperythra",8.2,"I","(0,16]"
"18","Ficedula_sapphira",0,4,4,"Ficedula_sapphira",7.8,"I","(0,16]"
"19","Garrulax_albogularis",4,2,6,"Garrulax_albogularis",98.5,"I","(16,200]"
"20","Grammatoptila_striata",10,8,16,"Grammatoptila_striata",110.5,"I","(16,200]"
"21","Heterophasia_capistrata",0,2,2,"Heterophasia_capistrata",39.4,"I","(16,200]"
"22","Luscinia_brunnea",0,2,4,"Luscinia_brunnea",17.5,"I","(16,200]"
"24","Minla_ignotincta",0,2,0,"Minla_ignotincta",14.3,"I","(0,16]"
"25","Muscicapella_hodgsoni",0,4,2,"Muscicapella_hodgsoni",5,"I","(0,16]"
"26","Myophonus_caeruleus",2,0,0,"Myophonus_caeruleus",158,"I","(16,200]"
"27","Niltava_grandis",6,4,4,"Niltava_grandis",30.3,"I","(16,200]"
"28","Niltava_sundara",2,10,6,"Niltava_sundara",21.1,"I","(16,200]"
"29","Paradoxornis_nipalensis",2,2,0,"Paradoxornis_nipalensis",5.5,"I","(0,16]"
"30","Parus_spilonotus",0,2,2,"Parus_spilonotus",18.8,"I","(16,200]"
"31","Phylloscopus_maculipennis",0,2,2,"Phylloscopus_maculipennis",5.1,"I","(0,16]"
"32","Phylloscopus_reguloides",18,14,14,"Phylloscopus_reguloides",7.8,"I","(0,16]"
"33","Pnoepyga_pusilla",0,2,6,"Pnoepyga_pusilla",12,"I","(0,16]"
"34","Schoeniparus_castaneceps",4,10,6,"Schoeniparus_castaneceps",12.5,"I","(0,16]"
"35","Schoeniparus_cinerea",2,4,10,"Schoeniparus_cinerea",11,"I","(0,16]"
"36","Seicercus_affinis",16,12,20,"Seicercus_affinis",8,"I","(0,16]"
"37","Seicercus_castaniceps",10,14,12,"Seicercus_castaniceps",5.3,"I","(0,16]"
"38","Spelaeornis_caudatus",0,2,0,"Spelaeornis_caudatus",11,"I","(0,16]"
"39","Spelaeornis_formosus",0,0,4,"Spelaeornis_formosus",11,"I","(0,16]"
"40","Stachyridopsis_chrysaea",2,4,10,"Stachyridopsis_chrysaea",9,"I","(0,16]"
"41","Tesia_castaneocoronata",4,2,2,"Tesia_castaneocoronata",8.8,"I","(0,16]"
"42","Tesia_cyaniventer",10,8,8,"Tesia_cyaniventer",9.7,"I","(0,16]"
"43","Tesia_olivea",4,2,0,"Tesia_olivea",7,"I","(0,16]"
"46","Trochalopteron_erythrocephalum",2,2,2,"Trochalopteron_erythrocephalum",71.7,"I","(16,200]"
"47","Urocissa_flavirostris",2,0,0,"Urocissa_flavirostris",150.5,"I","(16,200]"
"48","Yuhina_flavicollis",24,18,16,"Yuhina_flavicollis",15.4,"I","(0,16]"
"49","Yuhina_gularis",10,6,12,"Yuhina_gularis",21,"I","(16,200]"
