Type,Sample,[3]Araneae,[3]Blattodea,[3]Coleoptera,[3]Dermaptera,[3]Diptera,[3]Entomobryomorpha,[3]Ephemeroptera,[3]Haplotaxida,[3]Hemiptera,[3]Hymenoptera,[3]Lepidoptera,[3]Megaloptera,[3]Monostilifera,[3]Neuroptera,[3]Odonata,[3]Orthoptera,[3]Phasmatodea,[3]Plecoptera,[3]Psocoptera,[3]Scolopendromorpha,[3]Squamata,[3]Symphypleona,[3]Thysanoptera,[3]Vetigastropoda
Oecophylla,AF.16.11,0,0,0,0,0,0,0,0,0,13,55883,0,0,0,0,2419,0,0,0,0,0,0,0,0
Oecophylla,AF.VS5,0,0,28,0,0,0,0,0,8,0,7469,0,0,0,0,0,0,0,0,0,0,0,0,0
Oecophylla,AF.VS6.2,0,0,31582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oecophylla,AF.16.13,0,45,0,0,0,0,0,0,97748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oecophylla,AF.16.01,0,0,39342,0,0,0,0,0,2888,46993,1547,0,0,0,0,0,0,0,0,0,0,0,0,0
Oecophylla,AF.16.14,0,0,0,0,0,0,0,0,0,78543,2185,0,0,0,0,0,0,0,0,0,0,0,0,0
Oecophylla,AF.16.02,0,0,76775,0,0,0,0,0,13969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oecophylla,AF.16.15,0,0,0,0,0,0,0,0,40,13174,3683,0,0,0,0,0,0,0,0,0,0,0,0,0
Oecophylla,AF.16.03,0,22411,0,0,0,0,0,0,0,2,39865,0,0,0,0,0,0,0,0,0,0,0,0,0
Oecophylla,AF.16.16,122,840,91,0,13,0,0,0,2030,182,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Oecophylla,AF.16.04,0,52870,3,0,0,0,0,0,202,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oecophylla,AF.16.17,0,0,313,0,0,0,0,0,0,4,72315,0,0,0,0,0,0,0,0,0,0,0,0,0
Oecophylla,AF.16.05,0,44,334,0,0,0,0,0,55372,2,67,0,0,0,0,10783,0,0,0,0,0,0,0,0
Oecophylla,AF.16.18,0,5,0,0,0,0,0,0,46,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Oecophylla,AF.16.07,0,42552,108,0,18,0,0,0,44,278,59,0,0,0,0,0,0,0,0,0,0,0,0,0
Oecophylla,AF.VS1,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0
Oecophylla,AF.16.08,0,2,0,0,0,0,0,0,48,0,17923,0,0,0,0,0,0,0,0,0,0,0,0,0
Oecophylla,AF.VS2,0,96948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oecophylla,AF.16.10,0,0,0,0,0,0,0,0,168,0,774,0,0,0,0,0,0,0,0,0,0,0,0,0
Oecophylla,AF.VS4,0,19303,0,0,26,0,0,0,41,93,33932,0,0,0,0,0,0,0,0,0,0,0,0,0
Oecophylla,AF.16.09,0,80560,4171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oecophylla,AF.16.12,0,165,42,0,0,0,0,0,81335,35,1236,0,0,0,0,0,0,0,0,0,0,0,0,0
Oecophylla,AF.VS3,0,55617,0,0,0,0,0,0,0,13,585,0,0,0,0,0,0,0,0,0,0,0,0,0
Chapramari,A264083,4487,0,3,0,18,0,0,0,5,5,31,0,0,0,0,17,0,0,0,0,0,0,0,0
Chapramari,A264041,0,1967,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
Chapramari,Z52569,0,0,54341,0,0,0,0,0,8,11,26,0,0,0,0,0,0,0,0,37,0,0,0,247
Chapramari,Z52568,0,0,11,0,24,0,0,0,73,36,87,0,0,0,0,0,0,0,0,0,0,0,0,0
Chapramari,A264053,821,2,2259,0,0,0,0,0,0,0,25,0,0,0,0,0,12,0,0,0,0,0,0,0
Chapramari,A264080,0,0,21,73,0,0,0,0,0,0,58,0,0,0,0,7950,0,91,0,400,0,0,0,0
Chapramari,A264055,23,354,246,0,0,0,0,13,0,21,36,0,0,0,0,14,0,22,6,0,0,0,0,0
Chapramari,A264066,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,215,0,0,0,129,470,0,0,0
Chapramari,A264059,0,2112,3,0,0,0,0,0,0,18,30,0,0,0,0,0,0,0,0,28652,0,0,0,0
Chapramari,A264063,1401,3913,553,0,0,0,0,2,153,0,2,0,0,0,0,0,0,0,0,238,0,0,0,0
Chapramari,Orth.sut27.4,0,5,86,0,0,0,0,0,730,82,593,0,0,0,0,39,0,0,0,0,0,0,0,0
Chapramari,Z52465,2056,0,1755,0,0,0,0,0,40752,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0
Chapramari,A264064,0,0,12329,0,0,0,0,0,0,0,25,0,0,0,0,0,0,12,0,0,0,0,0,0
Chapramari,Z52583,0,0,4,0,0,0,0,0,0,10,6,0,0,0,0,0,0,3,0,7596,0,0,0,0
Chapramari,A264061,12,0,10,0,0,14,0,0,7,0,74,0,0,0,0,128,0,0,0,0,0,0,0,0
Chapramari,Z52577,0,0,39,179,27,0,0,0,2,32,135,0,0,0,0,0,0,0,0,0,0,0,0,0
Chapramari,Z52584,1173,26,7639,0,8,43,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0
Chapramari,A264065,10389,4940,194,0,0,0,0,0,1039,0,878,0,0,0,0,343,0,0,0,0,0,0,476,0
Bhote,StaRuf,653,0,170,0,2,0,0,0,1972,0,128,0,0,10,0,22,0,0,166,0,0,0,0,0
Bhote,Z52456,0,0,0,0,340,0,0,0,0,6,1173,0,0,0,0,0,0,0,6,0,0,0,0,0
Bhote,Z52592,154,0,429,0,53,0,0,0,34,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhote,Z52458,0,4,520,0,65,0,0,0,415,0,118,0,0,56,0,0,0,32575,6717,0,0,0,0,0
Bhote,Z52594,0,0,28,0,142,0,0,0,67,0,5,0,0,6,0,3,0,16,0,0,173,0,0,0
Bhote,Z52459,224,0,259,0,27,5,0,0,415,3,43,0,7,80,0,23,314,68,120,0,0,0,0,0
Bhote,Z52596,53,0,33,0,0,0,0,14,843,0,0,0,0,11,0,16,0,0,241,0,0,0,0,0
Bhote,Z52462,2381,0,75,0,13,0,0,0,151,3,470,0,0,7,0,26,0,0,3483,0,0,0,0,0
Bhote,A264073,0,36,3,1910,0,39,0,0,174,5,335,0,0,0,0,892,25,0,655,3075,0,0,0,0
Bhote,A264076,1083,0,27,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,10,0,91,0,0,0
Bhote,A264074,339,0,387,0,0,38,0,0,8,0,144,0,0,0,0,0,0,31,35,0,36,0,0,0
Bhote,Z52592.1,0,0,222,0,1789,0,419,0,685,13,103,0,0,62,0,0,0,138,79,0,314,0,79,0
Bhote,A264075,542,0,0,0,0,0,0,830,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhote,Z52450,0,0,14,0,0,0,0,0,0,0,10863,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhote,A264078,0,8,2324,0,0,0,0,0,110,0,44,0,0,0,0,0,0,0,9,0,0,0,0,0
Bhote,Z52453,10026,0,0,0,0,0,0,0,153,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Sachen,S008,0,0,50,56,0,0,0,0,751,0,34,0,0,0,0,12,0,0,9,0,0,0,0,0
Sachen,S038,0,0,82,0,76,0,0,0,924,1150,0,0,0,0,0,3,0,0,143,5,0,0,0,0
Sachen,S031,0,0,7928,3,2,0,0,2,11,0,7,47,0,0,0,0,0,0,0,0,0,0,0,0
Sachen,S012,0,0,116,0,56,0,0,0,830,0,623,0,0,0,0,10,0,0,0,0,0,0,0,0
Sachen,S013,0,6,4189,38,8,0,0,0,58,0,0,0,0,0,0,19,0,36,0,0,0,0,0,0
Sachen,S015,0,0,1640,0,0,0,0,0,74,0,18,0,0,0,0,0,0,0,3,0,0,0,0,0
Sachen,S001,0,0,0,0,0,0,0,3,29,5,0,0,0,0,213,12,0,0,0,0,0,0,0,0
Sachen,S034,0,0,244,0,11,0,0,0,54,259,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Sachen,S016,0,0,131,0,18,0,0,0,25,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
Sachen,S021,0,0,35,0,677,2,0,18,50,10,219,0,0,0,0,0,0,0,8,13,0,0,0,0
Sachen,S022,0,2,2,0,167,0,0,6,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0
Sachen,S025,0,4,612,120,84,302,0,52,356,0,50,0,0,0,0,0,0,0,37,0,0,0,0,0
Sachen,S027,0,0,2,0,0,0,0,0,2,0,10,0,0,0,0,16,0,760,0,0,0,0,0,0
Sachen,S030,0,0,820,0,0,0,0,0,144,9,518,0,0,0,0,0,0,0,15,128,0,3,0,0
Sachen,S005,0,0,0,0,0,0,0,0,6126,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
