"","Row.names","Price","Mohan","Name","MassMissingValuesAdded","Diet","mascat"
"4","Chrysocolaptes_lucidus",2,2,"Chrysocolaptes_lucidus",142,"I","(16,200]"
"5","Copsychus_malabaricus",4,8,"Copsychus_malabaricus",29.4,"I","(16,200]"
"6","Cyornis_poliogenys",14,12,"Cyornis_poliogenys",15.7,"I","(0,16]"
"7","Dendrocopos_canicapillus",0,2,"Dendrocopos_canicapillus",25.9,"I","(16,200]"
"8","Dicrurus_aeneus",2,0,"Dicrurus_aeneus",23.1,"I","(16,200]"
"9","Dicrurus_paradiseus",2,2,"Dicrurus_paradiseus",71,"I","(16,200]"
"10","Garrulax_pectoralis",8,8,"Garrulax_pectoralis",145.5,"I","(16,200]"
"11","Glaucidium_radiatum",2,2,"Glaucidium_radiatum",102,"I","(16,200]"
"14","Macronous_gularis",0,2,"Macronous_gularis",11.5,"I","(0,16]"
"16","Malacocincla_abbotti",4,4,"Malacocincla_abbotti",29.3,"I","(16,200]"
"20","Micropternus_brachyurus",2,2,"Micropternus_brachyurus",69.5,"I","(16,200]"
"21","Orthotomus_sutorius",2,0,"Orthotomus_sutorius",7.5,"I","(0,16]"
"22","Pellorneum_ruficeps",2,2,"Pellorneum_ruficeps",26,"I","(16,200]"
"23","Pericrocotus_speciosus",2,6,"Pericrocotus_speciosus",27.7,"I","(16,200]"
"24","Picus_canus",0,2,"Picus_canus",137,"I","(16,200]"
"25","Picus_chlorolophus",2,0,"Picus_chlorolophus",67,"I","(16,200]"
"26","Picus_flavinucha",2,4,"Picus_flavinucha",177.3,"I","(16,200]"
"29","Sitta_cinnamoventris",2,2,"Sitta_cinnamoventris",19.6,"I","(16,200]"
"30","Sitta_frontalis",4,10,"Sitta_frontalis",16.5,"I","(16,200]"
"31","Stachyridopsis_rufifrons",4,2,"Stachyridopsis_rufifrons",10.6,"I","(0,16]"
"32","Tephrodornis_gularis",2,0,"Tephrodornis_gularis",37.8,"I","(16,200]"
