SeqID,Order,AF-16-11,AF-VS5,AF-VS6-2,AF-16-13,AF-16-01,AF-16-14,AF-16-02,AF-16-15,AF-16-03,AF-16-16,AF-16-04,AF-16-17,AF-16-05,AF-16-18,AF-16-07,AF-VS1,AF-16-08,AF-VS2,AF-16-10,AF-VS4,AF-16-09,AF-16-12,AF-VS3
seq1,[3]Coleoptera,0,0,0,0,11,0,76266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq3,[3]Blattodea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88641,0,0,0,0,54333
seq4,[3]Blattodea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42119,0,0,0,0,0,79971,0,0
seq6,[3]Hemiptera,0,0,0,97690,0,0,0,40,0,2003,0,0,0,0,0,0,2,0,0,0,0,43,0
seq7,[3]Hemiptera,0,8,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,81219,0
seq8,[3]Blattodea,0,0,0,0,0,0,0,0,21267,147,51655,0,44,0,37,0,2,0,0,0,0,4,0
seq9,[3]Hymenoptera,0,0,0,0,0,77816,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
seq10,[3]Lepidoptera,0,0,0,0,0,0,0,2,0,0,0,72315,0,0,0,0,0,0,0,0,0,0,0
seq11,[3]Lepidoptera,55883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq12,[3]Coleoptera,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
seq13,[3]Hymenoptera,0,0,0,0,46168,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,35,0
seq14,[3]Hemiptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq15,[3]Lepidoptera,0,0,0,0,0,0,0,0,39865,0,0,0,67,0,51,0,0,0,0,0,0,0,0
