SeqID,birdlow,birdmou,birdbho,birdsac,birdbak,birdgun,birddzo,oeco,othants,GI ,%overlap,length of match,E-value,ID,Phylum,Class,Order,Family,Genus,Species
seq1,1,0,1,1,1,1,0,1,0,gi|49659251|emb|AJ566063.1|,89.796,98,5.41E-25,Pimelia maura mitochondrial partial 16S rRNA gene for 16S ribosomal RNA,[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Tenebrionidae,[5]Pimelia,[6]Pimelia_maura
seq3,1,0,1,0,1,0,0,1,0,gi|1145996103|gb|KY224437.1|,93.293,164,1.43E-60,N/A,[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Procapritermes,[6]Procapritermes_sp._1_TB-2017
seq4,0,0,0,1,1,1,0,1,0,gi|390473354|gb|JX050221.1|,95.625,160,1.84E-64,"Macrotermes barneyi mitochondrion, complete genome",[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Macrotermes,[6]Macrotermes_barneyi
seq6,1,0,0,0,0,0,0,1,0,gi|48256255|gb|AY252898.1|,85.625,160,1.15E-36,"Dieuches sp. WCW-2003 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Rhyparochromidae,[5]Dieuches,[6]Dieuches_sp._WCW-2003
seq7,1,0,0,0,0,0,0,1,0,gi|48256011|gb|AY252654.1|,83.529,170,8.92E-33,"Anasa tristis 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Hemiptera,[4]Coreidae,[5]Anasa,[6]Anasa_tristis
seq8,1,1,1,0,1,0,0,1,0,gi|296281001|gb|GQ422881.1|,98.137,161,3.03E-72,"Odontotermes sp. BKS-2010 isolate TL 16S ribosomal RNA gene, partial sequence; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Blattodea,[4]Termitidae,[5]Odontotermes,[6]Odontotermes_sp._BKS-2010
seq9,0,0,0,0,0,0,0,1,0,gi|317106957|dbj|AB556947.1|,83.654,104,1.18E-16,"Pristomyrmex punctatus mitochondrial DNA, complete genome, country: Japan: Gifu, Kii-Nagashima",[1]Arthropoda,[2]Insecta,[3]Hymenoptera,[4]Formicidae,[5]Pristomyrmex,[6]Pristomyrmex_punctatus
seq10,0,0,1,0,0,0,0,1,0,gi|758372448|gb|KM875542.1|,81.197,117,1.53E-15,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Elachistidae,[5]Promalactis,[6]Promalactis_suzukiella
seq11,1,0,0,0,1,0,0,1,0,gi|608607513|gb|KJ396197.1|,88.199,161,1.89E-44,N/A,[1]Arthropoda,[2]Insecta,[3]Lepidoptera,[4]Nolidae,[5]Risoba,[6]Risoba_prominens
seq12,0,0,0,0,0,0,0,1,1,gi|116008684|gb|DQ680910.1|,95,160,2.38E-63,"Anomala sp. 1 DA-2006 16S ribosomal RNA gene, partial sequence; tRNA-Leu gene, complete sequence; and NADH dehydrogenase subunit 1 (ND1) gene, partial cds; mitochondrial",[1]Arthropoda,[2]Insecta,[3]Coleoptera,[4]Scarabaeidae,[5]Anomala,[6]Anomala_sp._1_DA-2006
